Week,Year,GID,First Name,Last Name,Pos,Team,h/a,Oppt,DK points,DK salary
1,2017,5436, Daniel,Brown,TE,chi,h,atl,0,2500
1,2017,4694, David,Morgan,TE,min,h,nor,0,2500
1,2017,4590, Brandon,Williams,TE,ind,a,lar,0,2500
1,2017,4572, Vance,McDonald,TE,pit,a,cle,0,2800
1,2017,4553, James,Hanna,TE,dal,h,nyg,0,2500
1,2017,7014,,Jacksonville,Def,jac,a,hou,28,3700
1,2017,7025,,LA Rams,Def,lar,h,ind,28,3200
1,2017,7003,,Baltimore,Def,bal,a,cin,25,2800
1,2017,7023,,Philadelphia,Def,phi,a,was,22,2700
1,2017,7024,,Pittsburgh,Def,pit,a,cle,18,3600
1,2017,7011,,Detroit,Def,det,h,ari,16,2600
1,2017,7005,,Carolina,Def,car,a,sfo,15,3500
1,2017,7009,,Dallas,Def,dal,h,nyg,12,2900
1,2017,7031,,Washington,Def,was,h,phi,12,3000
1,2017,7004,,Buffalo,Def,buf,h,nyj,9,3900
1,2017,7012,,Green Bay,Def,gnb,h,sea,9,2500
1,2017,7001,,Arizona,Def,ari,a,det,8,2800
1,2017,7026,,LA Chargers,Def,lac,a,den,8,3000
1,2017,7028,,Seattle,Def,sea,a,gnb,7,2900
1,2017,7010,,Denver,Def,den,h,lac,5,3600
1,2017,7002,,Atlanta,Def,atl,a,chi,5,3300
1,2017,7007,,Cincinnati,Def,cin,h,bal,4,3100
1,2017,7021,,New York J,Def,nyj,a,buf,4,2400
1,2017,7027,,San Francisco,Def,sfo,h,car,4,2100
1,2017,7008,,Cleveland,Def,cle,h,pit,3,2000
1,2017,7015,,Kansas City,Def,kan,a,nwe,3,2300
1,2017,7022,,Oakland,Def,oak,a,ten,2,2500
1,2017,7006,,Chicago,Def,chi,h,atl,2,2200
1,2017,7017,,Minnesota,Def,min,h,nor,2,2900
1,2017,7020,,New York G,Def,nyg,a,dal,2,2600
1,2017,7030,,Tennessee,Def,ten,h,oak,2,2600
1,2017,7013,,Indianapolis,Def,ind,a,lar,2,2700
1,2017,7018,,New England,Def,nwe,h,kan,1,3400
1,2017,7019,,New Orleans,Def,nor,a,min,0,2400
1,2017,7032,,Houston,Def,hou,h,jac,0,3800
2,2017,1131, Tom,Brady,QB,nwe,a,nor,33.78,7900
