Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Start,Injury
PF/C,Marquese Chriss,4200,PHO@SA 11/05/2017 07:00PM ET,18.889,PHO,1,
C,Tyson Chandler,4100,PHO@SA 11/05/2017 07:00PM ET,21.25,PHO,1,
PG,Tyler Ulis,3800,PHO@SA 11/05/2017 07:00PM ET,16.063,PHO,,
SG/SF,Josh Jackson,3800,PHO@SA 11/05/2017 07:00PM ET,18.222,PHO,,
C,Alan Williams,3400,PHO@SA 11/05/2017 07:00PM ET,0,PHO,,2
PF/C,Dragan Bender,3400,PHO@SA 11/05/2017 07:00PM ET,15.333,PHO,,
SF,Derrick Jones Jr.,3000,PHO@SA 11/05/2017 07:00PM ET,3.833,PHO,,
SF/PF,Alec Peters,3000,PHO@SA 11/05/2017 07:00PM ET,5.625,PHO,,
SG,Davon Reed,3000,PHO@SA 11/05/2017 07:00PM ET,0,PHO,,2
PF,Jared Dudley,3000,PHO@SA 11/05/2017 07:00PM ET,-0.5,PHO,,
PG/SG,Brandon Knight,3000,PHO@SA 11/05/2017 07:00PM ET,0,PHO,,2
SG,Troy Daniels,3000,PHO@SA 11/05/2017 07:00PM ET,7.167,PHO,,
PG,Damian Lillard,9100,OKC@POR 11/05/2017 09:00PM ET,45.694,POR,1,
PG/SG,C.J. McCollum,7500,OKC@POR 11/05/2017 09:00PM ET,35.594,POR,1,
C,Jusuf Nurkic,6300,OKC@POR 11/05/2017 09:00PM ET,30.5,POR,1,
SF/PF,Al-Farouq Aminu,4900,OKC@POR 11/05/2017 09:00PM ET,24.028,POR,,2
SG/SF,Evan Turner,4400,OKC@POR 11/05/2017 09:00PM ET,22.944,POR,,
PF/C,Ed Davis,3900,OKC@POR 11/05/2017 09:00PM ET,21.111,POR,,
SF/PF,Maurice Harkless,3800,OKC@POR 11/05/2017 09:00PM ET,18.028,POR,1,
PF,Caleb Swanigan,3500,OKC@POR 11/05/2017 09:00PM ET,9.917,POR,,
PF/C,Noah Vonleh,3500,OKC@POR 11/05/2017 09:00PM ET,6.875,POR,1,
PG/SG,Shabazz Napier,3100,OKC@POR 11/05/2017 09:00PM ET,7.125,POR,,
PF/C,Meyers Leonard,3000,OKC@POR 11/05/2017 09:00PM ET,10.25,POR,,2
PG/SG,Wade Baldwin IV,3000,OKC@POR 11/05/2017 09:00PM ET,0,POR,,2
PF/C,Zach Collins,3000,OKC@POR 11/05/2017 09:00PM ET,1.583,POR,,
SG/SF,C.J. Wilcox,3000,OKC@POR 11/05/2017 09:00PM ET,0,POR,,2
SG/SF,Pat Connaughton,3000,OKC@POR 11/05/2017 09:00PM ET,13.194,POR,,
SF/PF,Jake Layman,3000,OKC@POR 11/05/2017 09:00PM ET,5.25,POR,,
PF/C,LaMarcus Aldridge,8300,PHO@SA 11/05/2017 07:00PM ET,40.556,SA,1,
SF/PF,Kawhi Leonard,8000,PHO@SA 11/05/2017 07:00PM ET,0,SA,,2
PF/C,Pau Gasol,5900,PHO@SA 11/05/2017 07:00PM ET,27.944,SA,1,
SF/PF,Rudy Gay,5300,PHO@SA 11/05/2017 07:00PM ET,25.222,SA,,
PG,Dejounte Murray,5200,PHO@SA 11/05/2017 07:00PM ET,22.556,SA,,
SG/SF,Danny Green,4700,PHO@SA 11/05/2017 07:00PM ET,22.306,SA,1,
SG/SF,Kyle Anderson,4300,PHO@SA 11/05/2017 07:00PM ET,22.972,SA,1,
PG,Tony Parker,3700,PHO@SA 11/05/2017 07:00PM ET,0,SA,,2
SG/SF,Manu Ginobili,3600,PHO@SA 11/05/2017 07:00PM ET,15.781,SA,,
PG,Patty Mills,3500,PHO@SA 11/05/2017 07:00PM ET,14.806,SA,1,
SG,Brandon Paul,3400,PHO@SA 11/05/2017 07:00PM ET,10.393,SA,,
PG/SG,Bryn Forbes,3400,PHO@SA 11/05/2017 07:00PM ET,9.781,SA,,
PF/C,Joffrey Lauvergne,3000,PHO@SA 11/05/2017 07:00PM ET,13.833,SA,,2
PG/SG,Derrick White,3000,PHO@SA 11/05/2017 07:00PM ET,5.167,SA,,
SF/PF,Davis Bertans,3000,PHO@SA 11/05/2017 07:00PM ET,5.25,SA,,
SG/SF,Darrun Hilliard,3000,PHO@SA 11/05/2017 07:00PM ET,0,SA,,
PF,Matt Costello,3000,PHO@SA 11/05/2017 07:00PM ET,0,SA,,
SG/SF,DeMar DeRozan,7600,WAS@TOR 11/05/2017 06:00PM ET,36.281,TOR,1,
PG,Kyle Lowry,7400,WAS@TOR 11/05/2017 06:00PM ET,33.875,TOR,1,
C,Jonas Valanciunas,5100,WAS@TOR 11/05/2017 06:00PM ET,23.875,TOR,1,
PF/C,Serge Ibaka,4900,WAS@TOR 11/05/2017 06:00PM ET,22.679,TOR,1,
PF/C,Jakob Poeltl,4400,WAS@TOR 11/05/2017 06:00PM ET,20.531,TOR,,
C,Lucas Nogueira,3800,WAS@TOR 11/05/2017 06:00PM ET,21.75,TOR,,
PF,Pascal Siakam,3800,WAS@TOR 11/05/2017 06:00PM ET,19.5,TOR,,
PG/SG,Delon Wright,3700,WAS@TOR 11/05/2017 06:00PM ET,17.406,TOR,,
SG/SF,Norman Powell,3700,WAS@TOR 11/05/2017 06:00PM ET,17.313,TOR,1,
SG/SF,C.J. Miles,3600,WAS@TOR 11/05/2017 06:00PM ET,16.357,TOR,,1
PG,Lorenzo Brown,3000,WAS@TOR 11/05/2017 06:00PM ET,0,TOR,,
PF,Malcolm Miller,3000,WAS@TOR 11/05/2017 06:00PM ET,0,TOR,,1
SF/PF,OG Anunoby,3000,WAS@TOR 11/05/2017 06:00PM ET,13.031,TOR,,
SF,Bruno Caboclo,3000,WAS@TOR 11/05/2017 06:00PM ET,2.375,TOR,,
PF,Alfonzo McKinnie,3000,WAS@TOR 11/05/2017 06:00PM ET,4.5,TOR,,
PG,Fred VanVleet,3000,WAS@TOR 11/05/2017 06:00PM ET,8.094,TOR,,
C,Rudy Gobert,7600,UTA@HOU 11/05/2017 07:00PM ET,35.667,UTA,1,
PG,Ricky Rubio,6800,UTA@HOU 11/05/2017 07:00PM ET,34.861,UTA,1,
SG/SF,Joe Ingles,5000,UTA@HOU 11/05/2017 07:00PM ET,26.639,UTA,1,
SG/SF,Rodney Hood,4800,UTA@HOU 11/05/2017 07:00PM ET,21.393,UTA,1,
PF/C,Derrick Favors,4700,UTA@HOU 11/05/2017 07:00PM ET,21.528,UTA,1,
SG/SF,Thabo Sefolosha,3900,UTA@HOU 11/05/2017 07:00PM ET,17.139,UTA,,
PG/SG,Donovan Mitchell,3800,UTA@HOU 11/05/2017 07:00PM ET,22.472,UTA,,
SG/SF,Joe Johnson,3600,UTA@HOU 11/05/2017 07:00PM ET,11.656,UTA,,2
SF/PF,Jonas Jerebko,3500,UTA@HOU 11/05/2017 07:00PM ET,7.063,UTA,,
PG/SG,Dante Exum,3100,UTA@HOU 11/05/2017 07:00PM ET,0,UTA,,2
PG/SG,Alec Burks,3100,UTA@HOU 11/05/2017 07:00PM ET,10.344,UTA,,
SF,Royce O'Neale,3000,UTA@HOU 11/05/2017 07:00PM ET,1.625,UTA,,
PG,Raul Neto,3000,UTA@HOU 11/05/2017 07:00PM ET,6.563,UTA,,
PG,Nate Wolters,3000,UTA@HOU 11/05/2017 07:00PM ET,0,UTA,,
PF/C,Ekpe Udoh,3000,UTA@HOU 11/05/2017 07:00PM ET,9.75,UTA,,
SF/PF,Eric Griffin,3000,UTA@HOU 11/05/2017 07:00PM ET,0,UTA,,
PF/C,Tony Bradley,3000,UTA@HOU 11/05/2017 07:00PM ET,0,UTA,,
PG,John Wall,9500,WAS@TOR 11/05/2017 06:00PM ET,44.469,WAS,1,1
SG,Bradley Beal,7700,WAS@TOR 11/05/2017 06:00PM ET,37.656,WAS,1,
SF/PF,Otto Porter,6700,WAS@TOR 11/05/2017 06:00PM ET,37,WAS,1,
C,Marcin Gortat,5700,WAS@TOR 11/05/2017 06:00PM ET,29.438,WAS,1,
SG/SF,Kelly Oubre Jr.,5200,WAS@TOR 11/05/2017 06:00PM ET,24.781,WAS,,
SF/PF,Markieff Morris,4800,WAS@TOR 11/05/2017 06:00PM ET,11,WAS,1,
PF/C,Jason Smith,3900,WAS@TOR 11/05/2017 06:00PM ET,7.313,WAS,,
PG,Tim Frazier,3900,WAS@TOR 11/05/2017 06:00PM ET,12.375,WAS,,
PG/SG,Tomas Satoransky,3600,WAS@TOR 11/05/2017 06:00PM ET,8,WAS,,
C,Ian Mahinmi,3500,WAS@TOR 11/05/2017 06:00PM ET,10.625,WAS,,
SG,Jodie Meeks,3500,WAS@TOR 11/05/2017 06:00PM ET,13.438,WAS,,
PF,Mike Scott,3500,WAS@TOR 11/05/2017 06:00PM ET,15.281,WAS,,
PF,Mike Young,3000,WAS@TOR 11/05/2017 06:00PM ET,0,WAS,,
SG,Sheldon Mac,3000,WAS@TOR 11/05/2017 06:00PM ET,0,WAS,,2
PF/C,Chris McCullough,3000,WAS@TOR 11/05/2017 06:00PM ET,8.75,WAS,,
SG,Devin Robinson,3000,WAS@TOR 11/05/2017 06:00PM ET,0,WAS,,2
